VANID,External ID,External ID Type ,handle
101505744,http://www.twitter.com/heatherliu,Twitter Handle,heatherliu
101563498,http://www.twitter.com/danielmalmer,Twitter Handle,danielmalmer
101563626,http://www.twitter.com/beckyontheroad,Twitter Handle,beckyontheroad
101563714,http://www.twitter.com/camsmatthews,Twitter Handle,camsmatthews
101569479,http://www.twitter.com/amv,Twitter Handle,amv
101578518,http://www.twitter.com/akellaravi,Twitter Handle,akellaravi
101581783,http://www.twitter.com/marcielow,Twitter Handle,marcielow
101582043,http://www.twitter.com/hornedbuddha,Twitter Handle,hornedbuddha
101582157,http://www.twitter.com/thepshaw,Twitter Handle,thepshaw
101582704,http://www.twitter.com/luckylindy313,Twitter Handle,luckylindy313
101585985,http://www.twitter.com/jmdelacruz,Twitter Handle,jmdelacruz
101586174,http://www.twitter.com/krishonadish,Twitter Handle,krishonadish
101587310,http://www.twitter.com/jzoob,Twitter Handle,jzoob
101588407,http://www.twitter.com/karlblarson,Twitter Handle,karlblarson
101589739,http://www.twitter.com/neulumusa,Twitter Handle,neulumusa
101589791,http://www.twitter.com/ccc2uc,Twitter Handle,ccc2uc
101590306,http://www.twitter.com/jimblomo,Twitter Handle,jimblomo
100540562,http://www.twitter.com/rohanarepally,Twitter Handle,rohanarepally
100542074,http://www.twitter.com/mfischerf7,Twitter Handle,mfischerf7
100544602,http://www.twitter.com/christheroo,Twitter Handle,christheroo
100544956,http://www.twitter.com/testnwm290,Twitter Handle,testnwm290
100546044,http://www.twitter.com/xhlin,Twitter Handle,xhlin
100546063,http://www.twitter.com/evangoldin,Twitter Handle,evangoldin
100548357,http://www.twitter.com/hermanyang,Twitter Handle,hermanyang
100548377,http://www.twitter.com/brian_tse,Twitter Handle,brian_tse
100559745,http://www.twitter.com/freshbreakfast,Twitter Handle,freshbreakfast
100559755,http://www.twitter.com/adamlorts,Twitter Handle,adamlorts
100564790,http://www.twitter.com/yishan,Twitter Handle,yishan
100565868,http://www.twitter.com/zoysha,Twitter Handle,zoysha
100566755,http://www.twitter.com/andrewaudibert1,Twitter Handle,andrewaudibert1
100566928,http://www.twitter.com/joshtycko,Twitter Handle,joshtycko
100567326,http://www.twitter.com/brendongouveia,Twitter Handle,brendongouveia
100567349,http://www.twitter.com/kaitriplepoint,Twitter Handle,kaitriplepoint
100571859,http://www.twitter.com/richaberman,Twitter Handle,richaberman
100572763,http://www.twitter.com/markkawano,Twitter Handle,markkawano
100572821,http://www.twitter.com/corasharma,Twitter Handle,corasharma
100575068,http://www.twitter.com/cwoodrich,Twitter Handle,cwoodrich
100577094,http://www.twitter.com/br1anbell,Twitter Handle,br1anbell
100579978,http://www.twitter.com/tdhuynh90,Twitter Handle,tdhuynh90
100582687,http://www.twitter.com/mcrelano,Twitter Handle,mcrelano
100584869,http://www.twitter.com/the_real_yoshi,Twitter Handle,the_real_yoshi
100587119,http://www.twitter.com/kingkung,Twitter Handle,kingkung
100592331,http://www.twitter.com/longbinchen,Twitter Handle,longbinchen
100592396,http://www.twitter.com/corakammeyer,Twitter Handle,corakammeyer
100592599,http://www.twitter.com/joshstaiger,Twitter Handle,joshstaiger
100592618,http://www.twitter.com/mishasilin,Twitter Handle,mishasilin
100592620,http://www.twitter.com/7leaguebootdisk,Twitter Handle,7leaguebootdisk
100598207,http://www.twitter.com/nbarbettini,Twitter Handle,nbarbettini
100599712,http://www.twitter.com/dcdoozy,Twitter Handle,dcdoozy
100600184,http://www.twitter.com/landon_hulet,Twitter Handle,landon_hulet
100605995,http://www.twitter.com/theluckiesttv,Twitter Handle,theluckiesttv
100606456,http://www.twitter.com/losthawkgsw,Twitter Handle,losthawkgsw
100609160,http://www.twitter.com/de3ug,Twitter Handle,de3ug
100616820,http://www.twitter.com/kaustubh85,Twitter Handle,kaustubh85
100620090,http://www.twitter.com/jeremiahgaw,Twitter Handle,jeremiahgaw
100623802,http://www.twitter.com/andylieberman,Twitter Handle,andylieberman
100626942,http://www.twitter.com/weixiyen,Twitter Handle,weixiyen
100627119,http://www.twitter.com/byrongibson,Twitter Handle,byrongibson
100627125,http://www.twitter.com/skenkre,Twitter Handle,skenkre
100632874,http://www.twitter.com/benoite_tweets,Twitter Handle,benoite_tweets
100637955,http://www.twitter.com/freqflyercoll,Twitter Handle,freqflyercoll
100641976,http://www.twitter.com/ronradu,Twitter Handle,ronradu
100643247,http://www.twitter.com/evanleonard,Twitter Handle,evanleonard
100643864,http://www.twitter.com/reactjs,Twitter Handle,reactjs
100644065,http://www.twitter.com/efoux,Twitter Handle,efoux
100646984,http://www.twitter.com/blip_it,Twitter Handle,blip_it
100647133,http://www.twitter.com/anmatanm,Twitter Handle,anmatanm
100649295,http://www.twitter.com/mmelcher,Twitter Handle,mmelcher
100654439,http://www.twitter.com/sierraaltaaa,Twitter Handle,sierraaltaaa
100658226,http://www.twitter.com/easelinc,Twitter Handle,easelinc
