VANID,External ID,External ID Type 
101582653,http://www.twitter.com/nashemrich,Twitter Handle
101582669,http://www.twitter.com/kenmazurmusic,Twitter Handle
101582688,http://www.twitter.com/schmoozeletter,Twitter Handle
101582704,http://www.twitter.com/luckylindy313,Twitter Handle
101582742,http://www.twitter.com/julieevedpres,Twitter Handle
101582765,http://www.twitter.com/dolbysurnd,Twitter Handle
101582808,http://www.twitter.com/donnarudek,Twitter Handle
101582822,http://www.twitter.com/sarahpereztc,Twitter Handle
101582859,http://www.twitter.com/gretchengrant,Twitter Handle
101582867,http://www.twitter.com/pchintawat,Twitter Handle
101583004,http://www.twitter.com/micahspear,Twitter Handle
101583017,http://www.twitter.com/alumnigem,Twitter Handle
101583020,http://www.twitter.com/sadlerdita,Twitter Handle
101583081,http://www.twitter.com/leanstudio,Twitter Handle
101583142,http://www.twitter.com/kathyaforte,Twitter Handle
101583202,http://www.twitter.com/lltrav,Twitter Handle
101583260,http://www.twitter.com/hanabatake,Twitter Handle
101583272,http://www.twitter.com/tyskitchen,Twitter Handle
101583281,http://www.twitter.com/timhunkapiller,Twitter Handle
101583284,http://www.twitter.com/maria_cristini,Twitter Handle
101583360,http://www.twitter.com/bekergashev,Twitter Handle
101583364,http://www.twitter.com/scott_squires,Twitter Handle
101583378,http://www.twitter.com/cheercheap,Twitter Handle
101583390,http://www.twitter.com/genieko,Twitter Handle
101583402,http://www.twitter.com/sakekasi,Twitter Handle
101583451,http://www.twitter.com/lambdayachts,Twitter Handle
101583574,http://www.twitter.com/dennismink,Twitter Handle
101583607,http://www.twitter.com/monalunadesign,Twitter Handle
101583619,http://www.twitter.com/dblstf,Twitter Handle
101583653,http://www.twitter.com/elashapsolo,Twitter Handle
101583701,http://www.twitter.com/kiaran,Twitter Handle
101583809,http://www.twitter.com/christoppino,Twitter Handle
101583844,http://www.twitter.com/stacie_parr,Twitter Handle
101583855,http://www.twitter.com/mitchkapler,Twitter Handle
101583870,http://www.twitter.com/loricainre,Twitter Handle
101583877,http://www.twitter.com/matthewturzo,Twitter Handle
101583928,http://www.twitter.com/dikinator,Twitter Handle
101583931,http://www.twitter.com/joycereingold,Twitter Handle
101583942,http://www.twitter.com/celinarabe,Twitter Handle
101583964,http://www.twitter.com/biddleb,Twitter Handle
101583966,http://www.twitter.com/joanneberg,Twitter Handle
101584001,http://www.twitter.com/frishy,Twitter Handle
101584029,http://www.twitter.com/tigaroo,Twitter Handle
101584072,http://www.twitter.com/cben01,Twitter Handle
101584119,http://www.twitter.com/meg_fisher,Twitter Handle
101584144,http://www.twitter.com/swptweets,Twitter Handle
101584162,http://www.twitter.com/hartman383,Twitter Handle
101584186,http://www.twitter.com/gtweigel,Twitter Handle
101584265,http://www.twitter.com/revel_r,Twitter Handle
101584295,http://www.twitter.com/kgreilly,Twitter Handle
101584300,http://www.twitter.com/bennyv,Twitter Handle
101584322,http://www.twitter.com/merxaus,Twitter Handle
101584332,http://www.twitter.com/campfiresteve,Twitter Handle
101584371,http://www.twitter.com/maxchiodo,Twitter Handle
101584372,http://www.twitter.com/yauds,Twitter Handle
101584394,http://www.twitter.com/tinydancera,Twitter Handle
101584401,http://www.twitter.com/sarahlecroy,Twitter Handle
101584450,http://www.twitter.com/jaredchung,Twitter Handle
101584490,http://www.twitter.com/rahulnihalani,Twitter Handle
101584535,http://www.twitter.com/mikekowitz,Twitter Handle
101584556,http://www.twitter.com/kamiwilt,Twitter Handle
101584586,http://www.twitter.com/matthewperlegis,Twitter Handle
101584606,http://www.twitter.com/nycorby,Twitter Handle
101584610,http://www.twitter.com/menco_finco,Twitter Handle
101584616,http://www.twitter.com/marketingstore,Twitter Handle
101584746,http://www.twitter.com/eelert,Twitter Handle
101584808,http://www.twitter.com/micahyo,Twitter Handle
101585909,http://www.twitter.com/meeshahalm,Twitter Handle
101585916,http://www.twitter.com/willheyman,Twitter Handle
101585919,http://www.twitter.com/getoffmydk,Twitter Handle
101585940,http://www.twitter.com/frankstarkey,Twitter Handle
101585985,http://www.twitter.com/jmdelacruz,Twitter Handle
101586010,http://www.twitter.com/woodsassociates,Twitter Handle
101586044,http://www.twitter.com/tdunham52,Twitter Handle
101586052,http://www.twitter.com/cgtheresa,Twitter Handle
101586112,http://www.twitter.com/brucehdorn,Twitter Handle
101586170,http://www.twitter.com/joanietells,Twitter Handle
101586174,http://www.twitter.com/krishonadish,Twitter Handle
101586179,http://www.twitter.com/kirvenblount,Twitter Handle
101586185,http://www.twitter.com/pauline_nee,Twitter Handle
101586254,http://www.twitter.com/ajbeen,Twitter Handle
101586261,http://www.twitter.com/needlestack,Twitter Handle
101586328,http://www.twitter.com/ppropp,Twitter Handle
101586336,http://www.twitter.com/karlchannell,Twitter Handle
101586375,http://www.twitter.com/joeofiowa,Twitter Handle
101586391,http://www.twitter.com/mikeheme,Twitter Handle
101586413,http://www.twitter.com/jacobksamuelson,Twitter Handle
101586443,http://www.twitter.com/erinhmay,Twitter Handle
101586469,http://www.twitter.com/timlhuang,Twitter Handle
101586507,http://www.twitter.com/darcybrownsf,Twitter Handle
101586528,http://www.twitter.com/blueirisnina,Twitter Handle
101586559,http://www.twitter.com/jalvani,Twitter Handle
101586600,http://www.twitter.com/icare4theworld,Twitter Handle
101586635,http://www.twitter.com/hockeyman0,Twitter Handle
101586667,http://www.twitter.com/ztothesmizzle,Twitter Handle
101586748,http://www.twitter.com/stevereddy1,Twitter Handle
101586780,http://www.twitter.com/triciaandrews,Twitter Handle
101586813,http://www.twitter.com/doylewiseman,Twitter Handle
101586840,http://www.twitter.com/drvannostrand,Twitter Handle
101586843,http://www.twitter.com/a_scuriatti,Twitter Handle
101586859,http://www.twitter.com/getspottd,Twitter Handle
101586863,http://www.twitter.com/danmuzyka,Twitter Handle
101586867,http://www.twitter.com/nycevelyn,Twitter Handle
101586946,http://www.twitter.com/thatannaho,Twitter Handle
101586968,http://www.twitter.com/tealdric,Twitter Handle
101586980,http://www.twitter.com/garybnorth,Twitter Handle
101586996,http://www.twitter.com/cindycated,Twitter Handle
101587001,http://www.twitter.com/shellykramer,Twitter Handle
101587015,http://www.twitter.com/bondbillbond,Twitter Handle
101587074,http://www.twitter.com/marthajg,Twitter Handle
101587101,http://www.twitter.com/ryanmalia,Twitter Handle
101587117,http://www.twitter.com/eronantiques,Twitter Handle
101587181,http://www.twitter.com/lexdei,Twitter Handle
101587198,http://www.twitter.com/marianneoconnor,Twitter Handle
101587301,http://www.twitter.com/librarianthea,Twitter Handle
101587310,http://www.twitter.com/jzoob,Twitter Handle
101587317,http://www.twitter.com/sheffernan,Twitter Handle
101587465,http://www.twitter.com/elishanyc,Twitter Handle
101587509,http://www.twitter.com/richburroughs,Twitter Handle
101587541,http://www.twitter.com/ectsymposium,Twitter Handle
101587556,http://www.twitter.com/markjlindquist,Twitter Handle
101587617,http://www.twitter.com/mariedesjardin,Twitter Handle
101587677,http://www.twitter.com/thelongcourse,Twitter Handle
101587696,http://www.twitter.com/rubennaeff,Twitter Handle
101587754,http://www.twitter.com/bussolati,Twitter Handle
101587784,http://www.twitter.com/reneelaplume,Twitter Handle
101587795,http://www.twitter.com/willychihwei,Twitter Handle
101587834,http://www.twitter.com/sokunthea,Twitter Handle
101587896,http://www.twitter.com/cjereneta,Twitter Handle
101587979,http://www.twitter.com/redoing,Twitter Handle
101588016,http://www.twitter.com/jafchriss,Twitter Handle
101588049,http://www.twitter.com/sarahchambers,Twitter Handle
101588112,http://www.twitter.com/paolaamato,Twitter Handle
101588136,http://www.twitter.com/truthxvision,Twitter Handle
101588140,http://www.twitter.com/piratetaki,Twitter Handle
101588145,http://www.twitter.com/patriciaispale,Twitter Handle
101588196,http://www.twitter.com/wpedgar,Twitter Handle
101588215,http://www.twitter.com/noslen_ramingo,Twitter Handle
101588234,http://www.twitter.com/theaustinnelson,Twitter Handle
101588323,http://www.twitter.com/wende_copfer,Twitter Handle
101588325,http://www.twitter.com/captemulation,Twitter Handle
101588347,http://www.twitter.com/jeffwids,Twitter Handle
101588363,http://www.twitter.com/vanillatino,Twitter Handle
101588366,http://www.twitter.com/rachel_inman,Twitter Handle
101588407,http://www.twitter.com/karlblarson,Twitter Handle
101588469,http://www.twitter.com/nathanpr,Twitter Handle
101588482,http://www.twitter.com/carlson_001,Twitter Handle
101588568,http://www.twitter.com/jbourne269,Twitter Handle
101588610,http://www.twitter.com/subodhchawla,Twitter Handle
101588696,http://www.twitter.com/efficientfront,Twitter Handle
101588705,http://www.twitter.com/draketex,Twitter Handle
101588747,http://www.twitter.com/joshminer,Twitter Handle
101588834,http://www.twitter.com/mycatch22,Twitter Handle
101588912,@CaitlinLong_,Twitter Handle
101588939,http://www.twitter.com/danny_nav,Twitter Handle
101589033,http://www.twitter.com/shuklaham,Twitter Handle
101589037,http://www.twitter.com/madhuber,Twitter Handle
101589061,http://www.twitter.com/singh_a87,Twitter Handle
101589183,http://www.twitter.com/mikebaitingerrh,Twitter Handle
101589278,http://www.twitter.com/olincook,Twitter Handle
101589299,http://www.twitter.com/evan_low,Twitter Handle
101589323,http://www.twitter.com/robgramc,Twitter Handle
101589353,http://www.twitter.com/caribirkner,Twitter Handle
101589434,http://www.twitter.com/industtrainintl,Twitter Handle
